Efficeincy (%)	Eff_Err	Temp (K)	Temp_Err	Power_Err	Power(W)	FF	Fferr
0.528732076817658	0.0539339154294676	370.8	5.20096144957834	8.15484883852647E-06	0.00124656679947673	0.0472215397782455	0.000419542112441879
0.434250556484722	0.0442319706755161	355.5	3.50142828000232	3.63889484823395E-06	0.00102381215383464	0.0350038481837958	0.000141188059002907
1.36769356994048	0.139254904322717	345	3.00166620396073	6.69624062039826E-06	0.00322454693198723	0.107070558465105	0.000254715957306219
1.55480545519896	0.158300917210721	334.8	2.20227155455452	6.98302054644934E-06	0.00366569184105836	0.11443410491516	0.000242436487204831
1.61395666109086	0.164329993308459	325.2	1.40356688476182	8.04391173217879E-06	0.00380514986270453	0.115180895880506	0.000286188304299439
3.03760289985602	0.309246704918777	321.3	0.316227766016839	1.02280134539209E-05	0.00716161377562994	0.209980395757962	0.000336218506103542
2.12853712360606	0.216703973282273	315.75	0.269258240356725	8.07876105021313E-06	0.00501835206539981	0.144986860347496	0.000250529606751692
3.71814836444381	0.378594871691584	311.2	0.806225774829856	1.13182994735912E-05	0.0087677541189759	0.248121013799172	0.00035502782188032
8.24356908991626	0.839345498255302	278.15	0.657647321898295	4.11984363953228E-05	0.0194354759002567	0.504674892342294	0.00145321644733957
8.46988777216664	0.862482118572402	281.35	0.559016994374947	5.1825663603573E-05	0.0199690568342766	0.527876892262046	0.00188885250034848
7.55717958369594	0.768785626758924	284	0.364005494464026	2.21097090878466E-05	0.0178041602418539	0.478377858367691	0.000732450218634003
8.07223847531024	0.820009864244164	286	0.269258240356725	1.9446110419558E-05	0.0189909048851456	0.515821956988644	0.000612192421043082
8.10566818282634	0.825333060451532	288	0.223606797749978	1.98934528966451E-05	0.0191141547200088	0.524906346003616	0.000640299527997416
