Efficeincy (%)	Eff_Err	Temp (K)	Temp_Err	Power_Err	Power(W)	FF	Fferr
3.74575743147208	0.334520074274568	359.85	3.65136960605195	4.29774694972417E-05	0.0125920303677038	0.45872842820514	0.00192122412189576
4.24854655049194	0.380436374022312	348.85	0.955248658727136	0.000105278919063589	0.0142822454900324	0.483380566879451	0.00491996775403998
4.75762707417505	0.424717053352469	341.7	4.20119030752	3.67814810412435E-05	0.0159936102890352	0.502404205774681	0.00118765994386474
4.77972652443585	0.42769490036048	332.7	2.30217288664427	0.000105210104570957	0.0160679015248892	0.496064200222863	0.00445131051840153
5.05751187425323	0.45148278415449	326.25	0.657647321898294	3.84130325016572E-05	0.0170017264253524	0.504905363081434	0.00118007721995046
5.16321704199201	0.461153945200375	323.65	1.15433963806152	6.3130604910637E-05	0.0173570731627056	0.511235689853273	0.00237371971502069
5.32359946276725	0.475229300443003	320.1	0.90553851381374	3.94859480103775E-05	0.0178962272189398	0.513475876690518	0.00115371792661315
5.20598905514912	0.464745712358769	316.4	0.223606797749978	4.06422605724653E-05	0.0175008588985455	0.497640447263316	0.00121179848543155
5.51073104486507	0.491931244884722	312.4	0.141421356237311	4.0464421786957E-05	0.0185253033424319	0.517270389944866	0.00114480324149993
5.57293940323182	0.497483946425188	308.6	0.316227766016839	4.08515818195081E-05	0.0187344278124516	0.515533925461711	0.0011336668148807
6.54816670090088	0.58454987730228	279.05	0.559016994374947	4.19267379012465E-05	0.0195909344880916	0.532859357409655	0.00114677695592811
6.63595942339598	0.59237422019683	281.1	0.223606797749979	4.22537937494023E-05	0.019781712899412	0.535555792160076	0.00115032583654322
6.4613820491687	0.576790089844952	282.4	0.141421356237309	4.22760023839066E-05	0.0197303870690242	0.5300986908787	0.00114204015956042
5.93195166652558	0.52954390282777	284.15	0.111803398874989	4.92973589976098E-05	0.022012827968448	0.53561936697895	0.00120685529647505
6.20189052939035	0.553630865572525	285.9	0.223606797749979	4.82060859464676E-05	0.022307958832618	0.546482011593954	0.00118875234417098
6.15975152987664	0.549869359219857	287.2	0.14142135623731	4.69269920148303E-05	0.0217210859135887	0.537752128089459	0.00116553566036759
6.00917126496752	0.536431837238012	288.65	0.111803398874989	4.50683385572458E-05	0.0199413114413247	0.497760093682356	0.00113201331124326
5.82772486289941	0.589547833955749	306.1	0.316227766016839	4.57154049614211E-05	0.0208487589791864	0.52632256651034	0.00115919176133108
5.88447581021293	0.595288396979266	303.9	0.316227766016839	4.54268548559085E-05	0.020707101231388	0.52619692205117	0.00115953756977055
5.86920789034716	0.593744685124337	302.15	0.1802775637732	4.49267917260019E-05	0.0202008988669259	0.516249840215527	0.00115590534012576
