wavelength	V	Verr
400	1.34	0.00223606797749979
495	1.307	0.00223606797749979
550	1.263	0.00223606797749979
610	1.112	0.00223606797749979
715	0.271	0.00223606797749979
780	0.0089999999999999	0.00223606797749979
850	0.00300000000000011	0.00223606797749979
