wavelength	V	Verr
400	4.715	0.00223606797749979
495	4.589	0.00223606797749979
550	4.425	0.00223606797749979
610	3.919	0.00223606797749979
715	1.992	0.00223606797749979
780	0.74	0.00223606797749979
850	0.205	0.00223606797749979
