drops	av. [au]	std [au]
9	0.0226789033333333	0.000613351758156225
8	0.0170816146666667	0.00149885115662141
7	0.0198445543333333	0.0015853357719538
6	0.0129346263333333	0.00245884580070616
5	0.0116244743333333	0.00149164788454458
4	0.0108421573333333	0.00133334217686284
3	0.00636379666666667	0.000853009721769531
2	0.00571100333333333	0.000827839406728946
1	0.001471576	0.000937271667803951
