lambda (nm)	A (1 drop)	A (4 drops)	A (6 drops)
513.532	0.065	0.09	0.114
513.705	0.065	0.09	0.114
513.877	0.065	0.09	0.114
514.049	0.065	0.09	0.114
514.221	0.065	0.09	0.114
514.393	0.065	0.09	0.114
514.565	0.065	0.09	0.114
514.737	0.065	0.09	0.113
514.909	0.065	0.09	0.113
515.081	0.065	0.09	0.113
515.254	0.065	0.09	0.113
515.426	0.065	0.09	0.113
515.598	0.065	0.09	0.112
515.77	0.065	0.09	0.112
515.942	0.065	0.09	0.112
516.114	0.065	0.09	0.112
516.286	0.065	0.09	0.112
516.458	0.065	0.09	0.112
516.631	0.065	0.09	0.112
516.803	0.065	0.09	0.112
516.975	0.065	0.09	0.112
517.147	0.065	0.09	0.112
517.319	0.065	0.09	0.112
517.491	0.065	0.09	0.111
517.663	0.065	0.09	0.111
517.835	0.065	0.09	0.111
518.008	0.065	0.09	0.111
518.18	0.065	0.09	0.111
518.352	0.064	0.09	0.111
518.524	0.064	0.089	0.111
518.696	0.064	0.089	0.111
518.868	0.064	0.089	0.111
519.04	0.064	0.089	0.111
519.212	0.064	0.089	0.111
519.385	0.064	0.089	0.111
519.557	0.064	0.089	0.111
519.729	0.064	0.089	0.111
519.901	0.064	0.089	0.111
520.073	0.064	0.089	0.111
520.245	0.064	0.089	0.111
520.417	0.064	0.089	0.111
520.59	0.064	0.089	0.111
520.762	0.064	0.089	0.111
520.934	0.064	0.089	0.111
521.106	0.065	0.09	0.111
521.278	0.065	0.089	0.111
521.45	0.065	0.09	0.111
521.622	0.065	0.09	0.111
521.795	0.065	0.09	0.111
521.967	0.065	0.09	0.111
522.139	0.065	0.09	0.111
522.311	0.065	0.09	0.111
522.483	0.065	0.09	0.111
522.655	0.065	0.09	0.111
522.828	0.065	0.09	0.111
523	0.065	0.09	0.111
523.172	0.065	0.09	0.111
523.344	0.065	0.09	0.111
523.516	0.065	0.09	0.111
523.688	0.065	0.09	0.111
523.861	0.065	0.09	0.111
524.033	0.065	0.091	0.111
524.205	0.064	0.091	0.111
524.377	0.064	0.091	0.111
524.549	0.065	0.091	0.112
524.721	0.065	0.091	0.112
524.894	0.065	0.091	0.112
525.066	0.065	0.091	0.112
525.238	0.064	0.091	0.112
525.41	0.064	0.091	0.112
525.582	0.064	0.091	0.112
525.754	0.064	0.091	0.112
525.927	0.064	0.091	0.112
526.099	0.064	0.091	0.112
526.271	0.064	0.091	0.112
526.443	0.064	0.091	0.112
526.615	0.064	0.091	0.112
526.787	0.064	0.091	0.112
526.96	0.064	0.091	0.112
527.132	0.064	0.091	0.113
527.304	0.064	0.091	0.113
527.476	0.064	0.091	0.113
527.648	0.064	0.091	0.113
527.821	0.064	0.091	0.114
527.993	0.064	0.091	0.114
528.165	0.064	0.091	0.114
528.337	0.064	0.091	0.114
528.509	0.064	0.092	0.114
528.682	0.064	0.092	0.114
528.854	0.064	0.092	0.114
529.026	0.064	0.092	0.114
529.198	0.064	0.092	0.113
529.37	0.064	0.092	0.113
529.543	0.065	0.092	0.113
529.715	0.065	0.092	0.113
529.887	0.064	0.091	0.113
530.059	0.064	0.091	0.113
530.231	0.064	0.091	0.113
530.404	0.064	0.091	0.113
530.576	0.064	0.091	0.113
530.748	0.064	0.091	0.113
530.92	0.064	0.092	0.113
531.092	0.064	0.092	0.113
531.265	0.064	0.092	0.114
531.437	0.064	0.092	0.114
531.609	0.064	0.092	0.114
531.781	0.064	0.092	0.114
531.953	0.065	0.092	0.114
532.126	0.065	0.092	0.114
532.298	0.065	0.092	0.114
532.47	0.064	0.093	0.114
532.642	0.065	0.093	0.115
532.814	0.065	0.093	0.115
532.987	0.064	0.093	0.115
533.159	0.065	0.093	0.115
533.331	0.065	0.093	0.115
533.503	0.065	0.093	0.115
533.676	0.065	0.093	0.115
533.848	0.065	0.093	0.115
534.02	0.065	0.093	0.114
534.192	0.065	0.093	0.114
534.364	0.065	0.093	0.115
534.537	0.065	0.093	0.115
534.709	0.065	0.093	0.115
534.881	0.065	0.093	0.115
535.053	0.065	0.093	0.115
535.226	0.065	0.093	0.115
535.398	0.065	0.093	0.115
535.57	0.065	0.093	0.115
535.742	0.065	0.093	0.115
535.914	0.065	0.093	0.115
536.087	0.065	0.093	0.114
536.259	0.065	0.092	0.114
536.431	0.065	0.092	0.114
536.603	0.065	0.092	0.114
536.776	0.065	0.092	0.114
536.948	0.065	0.092	0.114
537.12	0.065	0.092	0.113
537.292	0.065	0.092	0.113
537.465	0.064	0.092	0.113
537.637	0.065	0.092	0.113
537.809	0.065	0.092	0.113
537.981	0.065	0.092	0.112
538.154	0.064	0.092	0.112
538.326	0.064	0.092	0.112
538.498	0.064	0.092	0.112
538.67	0.064	0.092	0.112
538.843	0.064	0.092	0.112
539.015	0.064	0.092	0.112
539.187	0.064	0.092	0.112
539.359	0.064	0.092	0.112
539.532	0.064	0.092	0.112
539.704	0.064	0.092	0.112
539.876	0.064	0.092	0.112
540.048	0.064	0.092	0.111
540.221	0.064	0.092	0.112
540.393	0.064	0.092	0.111
540.565	0.064	0.092	0.111
540.737	0.064	0.092	0.112
540.91	0.064	0.092	0.111
541.082	0.064	0.092	0.111
541.254	0.064	0.091	0.111
541.427	0.064	0.091	0.111
541.599	0.064	0.091	0.111
541.771	0.064	0.091	0.111
541.943	0.064	0.091	0.111
542.116	0.064	0.091	0.11
542.288	0.064	0.091	0.11
542.46	0.064	0.09	0.11
542.632	0.064	0.09	0.11
542.805	0.063	0.09	0.109
542.977	0.063	0.09	0.109
543.149	0.063	0.09	0.109
543.321	0.063	0.09	0.109
543.494	0.063	0.09	0.109
543.666	0.063	0.09	0.108
543.838	0.063	0.09	0.108
544.011	0.063	0.09	0.108
544.183	0.063	0.09	0.108
544.355	0.063	0.09	0.108
544.527	0.063	0.09	0.108
544.7	0.063	0.09	0.109
544.872	0.063	0.09	0.109
545.044	0.063	0.09	0.109
545.217	0.063	0.09	0.109
545.389	0.063	0.09	0.108
545.561	0.063	0.09	0.108
545.733	0.063	0.09	0.108
545.906	0.063	0.09	0.108
546.078	0.063	0.09	0.108
546.25	0.063	0.089	0.108
546.423	0.063	0.089	0.107
546.595	0.063	0.089	0.107
546.767	0.063	0.089	0.107
546.94	0.063	0.089	0.107
547.112	0.063	0.089	0.107
547.284	0.063	0.089	0.107
547.456	0.063	0.089	0.107
547.629	0.063	0.089	0.107
547.801	0.063	0.089	0.107
547.973	0.063	0.089	0.107
548.146	0.063	0.089	0.107
548.318	0.063	0.089	0.107
548.49	0.063	0.089	0.107
548.663	0.063	0.089	0.107
548.835	0.063	0.089	0.107
549.007	0.063	0.089	0.107
549.18	0.063	0.089	0.107
549.352	0.063	0.089	0.107
549.524	0.063	0.089	0.107
549.696	0.063	0.089	0.107
549.869	0.063	0.089	0.107
550.041	0.063	0.089	0.107
550.213	0.063	0.089	0.107
550.386	0.063	0.089	0.107
550.558	0.063	0.09	0.107
550.73	0.063	0.09	0.107
550.903	0.063	0.09	0.107
551.075	0.063	0.09	0.107
551.247	0.063	0.09	0.107
551.42	0.063	0.09	0.107
551.592	0.063	0.09	0.107
551.764	0.063	0.09	0.107
551.937	0.063	0.09	0.107
552.109	0.063	0.09	0.107
552.281	0.063	0.09	0.107
552.454	0.063	0.09	0.107
552.626	0.063	0.09	0.107
552.798	0.063	0.09	0.107
552.971	0.063	0.09	0.107
553.143	0.063	0.09	0.107
553.315	0.063	0.09	0.108
553.488	0.063	0.09	0.108
553.66	0.063	0.09	0.108
553.832	0.063	0.09	0.108
554.005	0.064	0.091	0.108
554.177	0.064	0.091	0.108
554.349	0.064	0.09	0.108
554.522	0.064	0.091	0.108
554.694	0.064	0.091	0.108
554.866	0.064	0.091	0.109
555.039	0.064	0.091	0.109
555.211	0.064	0.091	0.109
555.383	0.064	0.091	0.109
555.556	0.064	0.091	0.109
555.728	0.063	0.091	0.109
555.9	0.063	0.091	0.109
556.073	0.064	0.091	0.109
556.245	0.064	0.091	0.11
556.417	0.064	0.091	0.11
556.59	0.064	0.091	0.11
556.762	0.063	0.091	0.11
556.935	0.063	0.091	0.11
557.107	0.063	0.091	0.11
557.279	0.063	0.091	0.11
557.452	0.064	0.091	0.11
557.624	0.064	0.092	0.11
557.796	0.064	0.092	0.11
557.969	0.064	0.092	0.11
558.141	0.064	0.092	0.111
558.313	0.064	0.092	0.111
558.486	0.064	0.092	0.111
558.658	0.064	0.093	0.111
558.831	0.064	0.093	0.111
559.003	0.064	0.093	0.111
559.175	0.064	0.093	0.111
559.348	0.064	0.093	0.111
559.52	0.065	0.094	0.112
559.692	0.065	0.094	0.112
559.865	0.064	0.094	0.112
560.037	0.065	0.094	0.112
560.209	0.065	0.094	0.112
560.382	0.065	0.094	0.112
560.554	0.064	0.094	0.112
560.727	0.064	0.094	0.112
560.899	0.064	0.094	0.113
561.071	0.064	0.094	0.113
561.244	0.064	0.094	0.113
561.416	0.064	0.094	0.113
561.589	0.064	0.094	0.113
561.761	0.064	0.094	0.113
561.933	0.064	0.094	0.114
562.106	0.064	0.094	0.114
562.278	0.064	0.095	0.114
562.45	0.064	0.095	0.114
562.623	0.064	0.095	0.114
562.795	0.064	0.095	0.115
562.968	0.065	0.095	0.115
563.14	0.065	0.096	0.115
563.312	0.065	0.096	0.115
563.485	0.065	0.096	0.115
563.657	0.065	0.096	0.116
563.83	0.065	0.096	0.116
564.002	0.065	0.096	0.116
564.174	0.065	0.097	0.116
564.347	0.065	0.097	0.117
564.519	0.065	0.097	0.117
564.692	0.065	0.097	0.117
564.864	0.065	0.097	0.117
565.036	0.065	0.097	0.117
565.209	0.065	0.097	0.117
565.381	0.064	0.097	0.117
565.554	0.065	0.097	0.118
565.726	0.064	0.097	0.118
565.898	0.065	0.097	0.118
566.071	0.065	0.097	0.118
566.243	0.065	0.098	0.118
566.416	0.065	0.098	0.118
566.588	0.065	0.098	0.118
566.76	0.065	0.098	0.118
566.933	0.065	0.098	0.118
567.105	0.065	0.098	0.119
567.278	0.065	0.098	0.119
567.45	0.065	0.099	0.119
567.623	0.065	0.099	0.119
567.795	0.065	0.099	0.119
567.967	0.065	0.099	0.119
568.14	0.065	0.099	0.119
568.312	0.065	0.099	0.119
568.485	0.065	0.099	0.12
568.657	0.065	0.099	0.12
568.829	0.065	0.099	0.12
569.002	0.065	0.099	0.12
569.174	0.065	0.099	0.12
569.347	0.065	0.1	0.121
569.519	0.065	0.1	0.121
569.692	0.065	0.1	0.121
569.864	0.065	0.1	0.121
570.036	0.065	0.1	0.122
570.209	0.065	0.1	0.122
570.381	0.065	0.1	0.122
570.554	0.065	0.1	0.122
570.726	0.065	0.1	0.122
570.899	0.065	0.1	0.122
571.071	0.065	0.101	0.122
571.244	0.065	0.101	0.123
571.416	0.065	0.101	0.123
571.588	0.065	0.101	0.123
571.761	0.065	0.101	0.123
571.933	0.065	0.101	0.123
572.106	0.065	0.101	0.123
572.278	0.065	0.101	0.123
572.451	0.065	0.101	0.123
572.623	0.065	0.101	0.123
572.796	0.065	0.101	0.123
572.968	0.065	0.101	0.123
573.14	0.065	0.101	0.123
573.313	0.065	0.101	0.124
573.485	0.065	0.101	0.124
573.658	0.065	0.101	0.124
573.83	0.065	0.102	0.124
574.003	0.066	0.102	0.124
574.175	0.066	0.102	0.125
574.348	0.066	0.102	0.125
574.52	0.066	0.102	0.125
574.693	0.066	0.102	0.125
574.865	0.066	0.102	0.125
575.037	0.066	0.103	0.125
575.21	0.066	0.103	0.125
575.382	0.066	0.103	0.125
575.555	0.066	0.103	0.125
575.727	0.066	0.103	0.126
575.9	0.066	0.103	0.126
576.072	0.066	0.103	0.125
576.245	0.066	0.102	0.125
576.417	0.066	0.102	0.125
576.59	0.066	0.103	0.126
576.762	0.066	0.103	0.126
576.935	0.066	0.103	0.126
577.107	0.066	0.103	0.126
577.28	0.066	0.103	0.126
577.452	0.066	0.103	0.126
577.624	0.066	0.103	0.126
577.797	0.066	0.103	0.126
577.969	0.066	0.103	0.126
578.142	0.066	0.103	0.126
578.314	0.066	0.103	0.126
578.487	0.066	0.103	0.126
578.659	0.066	0.103	0.127
578.832	0.066	0.104	0.127
579.004	0.066	0.104	0.127
579.177	0.066	0.104	0.127
579.349	0.066	0.104	0.127
579.522	0.066	0.104	0.127
579.694	0.066	0.104	0.127
579.867	0.066	0.104	0.127
580.039	0.066	0.104	0.127
580.212	0.066	0.104	0.127
580.384	0.066	0.104	0.127
580.557	0.066	0.104	0.127
580.729	0.066	0.104	0.127
580.902	0.066	0.104	0.127
581.074	0.066	0.104	0.127
581.247	0.066	0.104	0.127
581.419	0.066	0.104	0.127
581.592	0.066	0.104	0.127
581.764	0.066	0.104	0.127
581.937	0.066	0.104	0.127
582.109	0.066	0.104	0.127
582.282	0.066	0.104	0.127
582.454	0.066	0.104	0.127
582.627	0.066	0.104	0.127
582.799	0.066	0.104	0.127
582.972	0.066	0.104	0.127
583.144	0.066	0.104	0.127
583.317	0.066	0.104	0.127
583.489	0.066	0.104	0.127
583.662	0.066	0.104	0.127
583.834	0.066	0.104	0.127
584.007	0.066	0.104	0.127
584.179	0.066	0.104	0.126
584.352	0.066	0.104	0.127
584.524	0.066	0.104	0.126
584.697	0.066	0.104	0.126
584.869	0.066	0.103	0.126
585.042	0.066	0.103	0.126
585.214	0.066	0.103	0.126
585.387	0.066	0.103	0.126
585.559	0.066	0.103	0.126
585.732	0.066	0.103	0.126
585.904	0.066	0.103	0.126
586.077	0.066	0.103	0.126
586.25	0.066	0.103	0.126
586.422	0.066	0.103	0.126
586.595	0.066	0.103	0.126
586.767	0.066	0.103	0.126
586.94	0.066	0.103	0.126
587.112	0.066	0.103	0.126
587.285	0.066	0.103	0.125
587.457	0.066	0.103	0.125
587.63	0.066	0.103	0.125
587.802	0.066	0.103	0.125
587.975	0.066	0.103	0.125
588.147	0.066	0.103	0.125
588.32	0.066	0.103	0.125
588.492	0.066	0.103	0.125
588.665	0.066	0.103	0.125
588.838	0.066	0.103	0.125
589.01	0.066	0.102	0.124
589.183	0.066	0.102	0.124
589.355	0.066	0.102	0.125
589.528	0.066	0.102	0.124
589.7	0.066	0.103	0.124
589.873	0.066	0.103	0.125
590.045	0.066	0.103	0.125
590.218	0.066	0.103	0.125
590.39	0.066	0.103	0.125
590.563	0.066	0.103	0.125
590.736	0.066	0.103	0.125
590.908	0.066	0.103	0.125
591.081	0.066	0.103	0.125
591.253	0.066	0.103	0.125
591.426	0.066	0.103	0.125
591.598	0.066	0.103	0.125
591.771	0.066	0.103	0.124
591.943	0.066	0.103	0.125
592.116	0.066	0.103	0.124
592.289	0.066	0.103	0.125
592.461	0.066	0.103	0.125
592.634	0.066	0.103	0.125
592.806	0.066	0.103	0.124
592.979	0.066	0.103	0.125
593.151	0.066	0.103	0.125
593.324	0.066	0.103	0.125
593.496	0.066	0.103	0.125
593.669	0.066	0.103	0.125
593.842	0.066	0.103	0.125
594.014	0.066	0.103	0.126
594.187	0.066	0.103	0.126
594.359	0.066	0.104	0.126
594.532	0.066	0.104	0.126
594.704	0.066	0.104	0.126
594.877	0.066	0.104	0.127
595.05	0.066	0.104	0.127
595.222	0.066	0.104	0.127
595.395	0.066	0.104	0.127
595.567	0.066	0.105	0.128
595.74	0.066	0.105	0.128
595.913	0.066	0.105	0.128
596.085	0.066	0.105	0.128
596.258	0.066	0.106	0.128
596.43	0.066	0.106	0.129
596.603	0.067	0.106	0.129
596.775	0.067	0.106	0.129
596.948	0.067	0.106	0.13
597.121	0.067	0.106	0.13
597.293	0.067	0.106	0.13
597.466	0.067	0.107	0.13
597.638	0.067	0.107	0.131
597.811	0.067	0.107	0.131
597.984	0.067	0.107	0.131
598.156	0.067	0.107	0.132
598.329	0.067	0.107	0.132
598.501	0.067	0.107	0.132
598.674	0.067	0.108	0.132
598.847	0.067	0.108	0.132
599.019	0.067	0.108	0.133
599.192	0.067	0.108	0.133
599.364	0.067	0.108	0.133
599.537	0.067	0.109	0.134
599.71	0.067	0.109	0.134
599.882	0.067	0.109	0.134
600.055	0.067	0.109	0.135
600.227	0.067	0.109	0.135
600.4	0.067	0.11	0.136
600.573	0.067	0.11	0.136
600.745	0.068	0.11	0.136
600.918	0.068	0.11	0.137
601.09	0.068	0.11	0.137
601.263	0.068	0.111	0.137
601.436	0.068	0.111	0.138
601.608	0.068	0.111	0.138
601.781	0.068	0.111	0.138
601.954	0.068	0.112	0.139
602.126	0.068	0.112	0.139
602.299	0.068	0.112	0.139
602.471	0.068	0.112	0.139
602.644	0.068	0.112	0.14
602.817	0.068	0.113	0.14
602.989	0.068	0.113	0.14
603.162	0.068	0.113	0.14
603.334	0.068	0.113	0.141
603.507	0.068	0.114	0.141
603.68	0.069	0.114	0.141
603.852	0.069	0.114	0.142
604.025	0.069	0.114	0.142
604.198	0.069	0.115	0.142
604.37	0.069	0.115	0.143
604.543	0.069	0.115	0.143
604.716	0.069	0.115	0.144
604.888	0.069	0.115	0.144
605.061	0.069	0.116	0.144
605.233	0.069	0.116	0.144
605.406	0.069	0.116	0.145
605.579	0.069	0.116	0.145
605.751	0.069	0.116	0.145
605.924	0.069	0.117	0.146
606.097	0.069	0.117	0.146
606.269	0.069	0.117	0.146
606.442	0.069	0.117	0.147
606.615	0.069	0.117	0.147
606.787	0.069	0.118	0.147
606.96	0.069	0.118	0.148
607.132	0.069	0.118	0.148
607.305	0.069	0.118	0.148
607.478	0.069	0.118	0.148
607.65	0.069	0.118	0.149
607.823	0.069	0.119	0.149
607.996	0.069	0.119	0.149
608.168	0.069	0.119	0.149
608.341	0.069	0.119	0.15
608.514	0.069	0.119	0.15
608.686	0.069	0.119	0.15
608.859	0.069	0.119	0.15
609.032	0.069	0.119	0.15
609.204	0.069	0.119	0.151
609.377	0.069	0.119	0.151
609.55	0.069	0.119	0.151
609.722	0.069	0.119	0.151
609.895	0.069	0.12	0.152
610.068	0.069	0.12	0.152
610.24	0.069	0.12	0.152
610.413	0.069	0.12	0.152
610.586	0.069	0.12	0.152
610.758	0.069	0.12	0.152
610.931	0.069	0.12	0.153
611.104	0.07	0.121	0.153
611.276	0.07	0.121	0.153
611.449	0.07	0.121	0.153
611.622	0.07	0.121	0.153
611.794	0.07	0.121	0.153
611.967	0.07	0.121	0.153
612.14	0.07	0.122	0.154
612.312	0.07	0.122	0.154
612.485	0.07	0.122	0.154
612.658	0.07	0.122	0.154
612.83	0.07	0.122	0.154
613.003	0.07	0.122	0.154
613.176	0.07	0.122	0.154
613.348	0.07	0.122	0.155
613.521	0.07	0.122	0.155
613.694	0.07	0.122	0.155
613.866	0.07	0.123	0.155
614.039	0.07	0.123	0.155
614.212	0.07	0.123	0.155
614.385	0.07	0.123	0.155
614.557	0.07	0.123	0.155
614.73	0.07	0.123	0.155
614.903	0.07	0.123	0.155
615.075	0.07	0.122	0.155
615.248	0.07	0.122	0.155
615.421	0.07	0.122	0.155
615.593	0.07	0.122	0.155
615.766	0.07	0.122	0.155
615.939	0.07	0.122	0.155
616.111	0.07	0.122	0.155
616.284	0.07	0.122	0.155
616.457	0.07	0.122	0.154
616.63	0.07	0.122	0.154
616.802	0.07	0.122	0.154
616.975	0.07	0.122	0.154
617.148	0.07	0.122	0.154
617.32	0.07	0.122	0.154
617.493	0.07	0.122	0.154
617.666	0.07	0.122	0.154
617.839	0.07	0.122	0.154
618.011	0.07	0.122	0.154
618.184	0.07	0.122	0.154
618.357	0.07	0.122	0.154
618.529	0.07	0.122	0.153
618.702	0.07	0.122	0.153
618.875	0.07	0.122	0.153
619.047	0.07	0.122	0.153
619.22	0.07	0.121	0.153
619.393	0.07	0.121	0.153
619.566	0.07	0.121	0.153
619.738	0.07	0.121	0.153
619.911	0.07	0.121	0.152
620.084	0.07	0.121	0.152
620.257	0.07	0.121	0.152
620.429	0.07	0.121	0.152
620.602	0.07	0.121	0.152
620.775	0.07	0.121	0.152
620.947	0.07	0.121	0.152
621.12	0.07	0.121	0.151
621.293	0.07	0.12	0.151
621.466	0.07	0.12	0.151
621.638	0.07	0.12	0.151
621.811	0.07	0.12	0.151
621.984	0.07	0.12	0.151
622.157	0.07	0.12	0.151
622.329	0.07	0.12	0.15
622.502	0.07	0.12	0.15
622.675	0.07	0.12	0.15
622.847	0.07	0.12	0.15
623.02	0.07	0.119	0.15
623.193	0.07	0.119	0.149
623.366	0.07	0.119	0.149
623.538	0.07	0.119	0.149
623.711	0.07	0.119	0.149
623.884	0.07	0.119	0.149
624.057	0.07	0.118	0.148
624.229	0.07	0.118	0.148
624.402	0.07	0.118	0.148
624.575	0.07	0.118	0.148
624.748	0.069	0.118	0.147
624.92	0.069	0.117	0.147
625.093	0.069	0.117	0.147
625.266	0.069	0.117	0.146
625.439	0.069	0.117	0.146
625.611	0.069	0.117	0.146
625.784	0.069	0.117	0.146
625.957	0.069	0.116	0.146
626.13	0.069	0.116	0.145
626.302	0.069	0.116	0.145
626.475	0.069	0.116	0.145
626.648	0.069	0.116	0.145
626.821	0.069	0.116	0.145
626.993	0.069	0.116	0.145
627.166	0.069	0.116	0.145
627.339	0.069	0.116	0.144
627.512	0.069	0.116	0.144
627.685	0.069	0.116	0.144
627.857	0.069	0.116	0.144
628.03	0.069	0.116	0.144
628.203	0.069	0.116	0.144
628.376	0.069	0.116	0.144
628.548	0.069	0.116	0.144
628.721	0.069	0.116	0.144
628.894	0.069	0.116	0.144
629.067	0.069	0.116	0.144
629.239	0.069	0.116	0.144
629.412	0.069	0.116	0.144
629.585	0.069	0.116	0.144
629.758	0.069	0.116	0.144
629.931	0.069	0.116	0.144
630.103	0.069	0.116	0.144
630.276	0.069	0.116	0.144
630.449	0.069	0.116	0.144
630.622	0.069	0.116	0.144
630.794	0.069	0.116	0.144
630.967	0.069	0.116	0.145
631.14	0.069	0.116	0.145
631.313	0.069	0.116	0.145
631.486	0.069	0.116	0.145
631.658	0.069	0.116	0.145
631.831	0.069	0.116	0.145
632.004	0.069	0.117	0.146
632.177	0.069	0.117	0.146
632.35	0.069	0.117	0.146
632.522	0.069	0.117	0.146
632.695	0.069	0.118	0.147
632.868	0.069	0.118	0.147
633.041	0.069	0.118	0.148
633.214	0.069	0.119	0.148
633.386	0.069	0.119	0.148
633.559	0.069	0.119	0.149
633.732	0.07	0.119	0.149
633.905	0.07	0.119	0.149
634.078	0.07	0.12	0.15
634.25	0.07	0.12	0.15
634.423	0.07	0.12	0.151
634.596	0.07	0.12	0.151
634.769	0.07	0.121	0.152
634.942	0.07	0.121	0.153
635.114	0.07	0.121	0.153
635.287	0.07	0.122	0.154
635.46	0.07	0.122	0.155
635.633	0.07	0.123	0.155
635.806	0.07	0.123	0.156
635.978	0.07	0.124	0.157
636.151	0.071	0.124	0.157
636.324	0.071	0.125	0.158
636.497	0.071	0.125	0.159
636.67	0.071	0.126	0.16
636.843	0.071	0.126	0.161
637.015	0.071	0.127	0.161
637.188	0.071	0.127	0.162
637.361	0.072	0.128	0.163
637.534	0.072	0.128	0.164
637.707	0.072	0.129	0.165
637.879	0.072	0.13	0.166
638.052	0.072	0.13	0.167
638.225	0.072	0.131	0.168
638.398	0.072	0.132	0.169
638.571	0.073	0.132	0.17
638.744	0.073	0.133	0.171
638.916	0.073	0.133	0.172
639.089	0.073	0.134	0.173
639.262	0.073	0.135	0.174
639.435	0.073	0.135	0.175
639.608	0.073	0.136	0.176
639.781	0.073	0.137	0.177
639.953	0.073	0.137	0.178
640.126	0.073	0.138	0.18
640.299	0.074	0.139	0.181
640.472	0.074	0.139	0.182
640.645	0.074	0.14	0.183
640.818	0.074	0.141	0.184
640.99	0.074	0.142	0.185
641.163	0.074	0.142	0.186
641.336	0.074	0.143	0.188
641.509	0.075	0.144	0.189
641.682	0.075	0.145	0.19
641.855	0.075	0.146	0.191
642.028	0.075	0.146	0.193
642.2	0.076	0.147	0.194
642.373	0.076	0.148	0.195
642.546	0.076	0.149	0.196
642.719	0.076	0.15	0.198
642.892	0.076	0.15	0.199
643.065	0.077	0.151	0.2
643.237	0.077	0.152	0.202
643.41	0.077	0.153	0.203
643.583	0.077	0.154	0.204
643.756	0.077	0.155	0.206
643.929	0.078	0.155	0.207
644.102	0.078	0.156	0.208
644.275	0.078	0.157	0.21
644.448	0.078	0.158	0.211
644.62	0.078	0.159	0.212
644.793	0.078	0.159	0.214
644.966	0.078	0.16	0.215
645.139	0.079	0.161	0.216
645.312	0.079	0.162	0.217
645.485	0.079	0.163	0.219
645.658	0.079	0.164	0.22
645.83	0.079	0.165	0.222
646.003	0.08	0.165	0.223
646.176	0.08	0.166	0.224
646.349	0.08	0.167	0.226
646.522	0.08	0.168	0.227
646.695	0.08	0.169	0.229
646.868	0.08	0.17	0.23
647.041	0.081	0.171	0.232
647.213	0.081	0.171	0.233
647.386	0.081	0.172	0.235
647.559	0.081	0.173	0.236
647.732	0.082	0.174	0.238
647.905	0.082	0.175	0.24
648.078	0.082	0.176	0.241
648.251	0.082	0.177	0.243
648.424	0.082	0.178	0.245
648.597	0.082	0.179	0.246
648.769	0.083	0.18	0.248
648.942	0.083	0.182	0.25
649.115	0.083	0.183	0.252
649.288	0.083	0.184	0.253
649.461	0.084	0.185	0.255
649.634	0.084	0.186	0.257
649.807	0.084	0.187	0.259
649.98	0.084	0.188	0.261
650.153	0.084	0.19	0.263
650.325	0.085	0.191	0.265
650.498	0.085	0.192	0.267
650.671	0.085	0.194	0.27
650.844	0.086	0.195	0.272
651.017	0.086	0.196	0.274
651.19	0.086	0.198	0.277
651.363	0.087	0.199	0.279
651.536	0.087	0.201	0.282
651.709	0.088	0.203	0.284
651.882	0.088	0.204	0.287
652.054	0.088	0.206	0.29
652.227	0.089	0.208	0.292
652.4	0.089	0.209	0.295
652.573	0.089	0.211	0.298
652.746	0.09	0.213	0.3
652.919	0.09	0.215	0.303
653.092	0.09	0.216	0.306
653.265	0.091	0.218	0.309
653.438	0.091	0.22	0.312
653.611	0.091	0.222	0.315
653.784	0.092	0.224	0.319
653.956	0.092	0.226	0.322
654.129	0.093	0.228	0.325
654.302	0.093	0.23	0.329
654.475	0.094	0.232	0.332
654.648	0.094	0.234	0.336
654.821	0.095	0.236	0.339
654.994	0.096	0.238	0.343
655.167	0.096	0.241	0.347
655.34	0.096	0.243	0.35
655.513	0.097	0.245	0.354
655.686	0.097	0.247	0.358
655.859	0.098	0.249	0.361
656.032	0.098	0.252	0.365
656.204	0.099	0.254	0.369
656.377	0.099	0.256	0.372
656.55	0.1	0.259	0.376
656.723	0.1	0.261	0.38
656.896	0.101	0.263	0.384
657.069	0.101	0.265	0.388
657.242	0.101	0.267	0.391
657.415	0.102	0.27	0.395
657.588	0.102	0.272	0.399
657.761	0.103	0.274	0.403
657.934	0.103	0.276	0.406
658.107	0.104	0.278	0.41
658.28	0.104	0.281	0.414
658.453	0.104	0.283	0.417
658.626	0.105	0.285	0.421
658.799	0.105	0.287	0.424
658.971	0.106	0.289	0.428
659.144	0.106	0.291	0.431
659.317	0.106	0.292	0.434
659.49	0.107	0.294	0.437
659.663	0.107	0.296	0.44
659.836	0.108	0.298	0.443
660.009	0.108	0.299	0.446
660.182	0.108	0.301	0.449
660.355	0.109	0.302	0.451
660.528	0.109	0.303	0.453
660.701	0.109	0.305	0.456
660.874	0.109	0.306	0.458
661.047	0.11	0.307	0.46
661.22	0.11	0.308	0.462
661.393	0.11	0.309	0.463
661.566	0.11	0.31	0.465
661.739	0.11	0.31	0.466
661.912	0.11	0.311	0.467
662.085	0.11	0.312	0.468
662.258	0.11	0.312	0.469
662.431	0.11	0.312	0.47
662.604	0.111	0.313	0.471
662.777	0.111	0.313	0.471
662.95	0.111	0.313	0.471
663.122	0.111	0.313	0.471
663.295	0.111	0.313	0.471
663.468	0.111	0.312	0.471
663.641	0.11	0.312	0.47
663.814	0.11	0.312	0.47
663.987	0.11	0.311	0.469
