c [mol/l]	av. [au]	std [au]
1.52777777777778E-07	0.0226789033333333	0.000613351758156225
1.35802469135802E-07	0.0170816146666667	0.00149885115662141
1.18827160493827E-07	0.0198445543333333	0.0015853357719538
1.01851851851852E-07	0.0129346263333333	0.00245884580070616
8.48765432098765E-08	0.0109578076666667	0.000337128182545354
6.79012345679012E-08	0.0108421573333333	0.00133334217686284
5.09259259259259E-08	0.00636379666666667	0.000853009721769531
3.39506172839506E-08	0.00604433666666667	0.000498816683094435
1.69753086419753E-08	0.001471576	0.000937271667803951
