wavelength	V	Verr
400	1.563	0.00223606797749979
495	1.547	0.00223606797749979
550	1.523	0.00223606797749979
610	1.488	0.00223606797749979
715	1.372	0.00223606797749979
780	0.82	0.00223606797749979
850	0.345	0.00223606797749979
